time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2047,1092,1.613692,8.157045,-4.651934,-0.09566,1.083703,-0.168404,21.494705
2057,1107,1.733402,8.180987,-4.589684,-0.127902,1.09596,-0.148953,21.491764
2067,1077,1.865083,8.145074,-4.565742,-0.156413,1.104753,-0.130833,21.512352
2077,1095,1.989582,8.104373,-4.515464,-0.173201,1.132466,-0.11298,21.50647
2087,1077,2.142811,7.975086,-4.376601,-0.211571,1.150851,-0.089798,21.52706
2097,976,2.286463,7.912837,-4.27365,-0.264597,1.132998,-0.064484,21.535883
2107,816,2.322376,7.893683,-4.201824,-0.30057,1.120475,-0.046098,21.532942
2117,757,2.312799,7.867347,-4.218584,-0.3043,1.132998,-0.038104,21.50647
2127,861,2.355895,7.807492,-4.264073,-0.303501,1.147387,-0.024248,21.503529
2137,894,2.533065,7.750031,-4.201824,-0.327482,1.158046,-0.00826,21.497646
2147,1078,2.715025,7.714118,-4.019865,-0.353329,1.157247,0.007727,21.515295
2157,1137,2.911349,7.678205,-3.955221,-0.38344,1.116211,0.018919,21.515295
2167,1334,3.107674,7.723695,-3.955221,-0.425008,1.045599,0.028511,21.509411
2177,1455,3.232172,7.69257,-3.969586,-0.473504,0.946741,0.014123,21.515295
2187,1527,3.04303,7.759608,-3.938462,-0.527329,0.834294,-0.010925,21.500587
2197,1520,2.782062,7.893683,-4.027047,-0.575825,0.751691,-0.029311,21.515295
2207,1610,2.47321,8.166622,-4.055778,-0.591547,0.723446,-0.067681,21.512352
2217,1673,2.147599,8.360553,-3.931279,-0.612331,0.753556,-0.114046,21.503529
2227,1767,1.877054,8.408437,-3.809175,-0.648303,0.819639,-0.12577,21.503529
2237,1769,1.972822,8.595184,-3.706224,-0.689605,0.930753,-0.163608,21.518236
2247,1777,1.896208,8.896853,-3.921702,-0.727443,1.011758,-0.169737,21.512352
2257,1745,2.185906,9.045294,-3.696647,-0.783666,1.084502,-0.147887,21.518236
2267,1813,2.5187,9.275137,-3.246537,-0.837758,1.137528,-0.161476,21.521177
2277,1621,2.674323,9.454702,-3.263297,-0.888386,1.13966,-0.128435,21.503529
2287,1485,3.10528,9.497798,-3.055001,-0.927023,1.109017,-0.120441,21.509411
2297,1333,3.368642,9.68694,-2.707842,-0.925158,1.040802,-0.131632,21.509411
2307,1267,3.473987,9.756371,-2.525883,-0.892116,0.930753,-0.120175,21.521177
2317,1279,3.65834,9.698911,-2.47321,-0.846551,0.823369,-0.108717,21.535883
2327,1175,3.768473,9.725247,-2.37026,-0.778337,0.736769,-0.11751,21.521177
2337,1232,3.89776,9.691729,-2.317587,-0.693602,0.649902,-0.110315,21.52706
2347,1309,3.998317,9.598354,-2.27928,-0.608334,0.561703,-0.085801,21.524118
2379,1321,4.285621,9.090784,-2.118869,-0.336542,0.256603,-0.056757,21.541765
2390,1278,4.280833,8.944737,-2.11408,-0.28698,0.134297,-0.05276,21.530001
2400,1414,4.292804,8.880095,-1.963245,-0.249942,0.018652,-0.057289,21.544706
2410,1481,4.240131,8.889671,-1.924938,-0.220897,-0.102322,-0.052227,21.532942
2420,1615,4.127604,8.904037,-1.989582,-0.220098,-0.227026,-0.044499,21.532942
2430,1674,3.969586,9.01417,-2.054225,-0.242214,-0.333078,-0.048496,21.530001
2440,1721,3.828329,9.157822,-2.054225,-0.271525,-0.428472,-0.05649,21.524118
2450,1702,3.588908,9.358934,-2.080561,-0.291776,-0.523865,-0.079939,21.524118
2460,1698,3.306392,9.526528,-2.267309,-0.290444,-0.596077,-0.099657,21.518236
2470,1653,2.987964,9.631873,-2.382231,-0.265397,-0.626986,-0.111914,21.535883
2480,1779,2.717419,9.662998,-2.430115,-0.222496,-0.613397,-0.122306,21.524118
2490,1908,2.590526,9.706094,-2.434903,-0.164407,-0.55664,-0.124172,21.515295
2500,1919,2.667141,9.787497,-2.185906,-0.096459,-0.479366,-0.119109,21.538824
2510,1936,2.784456,9.883265,-1.94888,-0.035972,-0.417014,-0.102055,21.541765
2520,1982,2.89459,10.024523,-2.006341,-0.001066,-0.39543,-0.072478,21.547647
2530,1914,2.956839,10.175357,-2.126051,-0.000799,-0.41275,-0.037038,21.538824
2540,1878,2.964022,10.287885,-2.25055,-0.009593,-0.428738,-0.009859,21.52706
2550,1969,3.0143,10.357317,-2.293645,0.002398,-0.437531,0.010392,21.512352
2560,2063,3.124433,10.139444,-2.214637,0.004796,-0.473504,0.018386,21.52706
2570,2191,3.069367,9.646238,-2.439692,-0.038104,-0.51827,0.010925,21.532942
