time_ms, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp_C
459,1456,-1.4126,8.3438,0.8715,1.2105,-1.2945,-0.3635,25.31
469,1264,-1.4509,7.9248,-0.0862,1.2343,-0.8164,-0.4231,25.31
479,1211,-1.1851,7.3622,-0.8332,1.1892,-0.4666,-0.4644,25.33
489,1222,-0.7853,6.8714,-1.1947,1.0376,-0.2297,-0.4836,25.32
499,1240,-0.3998,6.6846,-1.47,0.7421,-0.0815,-0.392,25.33
509,1276,0.316,6.3159,-1.6233,0.3389,0.0088,-0.2292,25.35
519,1309,1.1612,6.0454,-1.4988,-0.1074,0.0469,-0.1077,25.34
529,1382,1.9154,6.0358,-1.1564,-0.5473,0.0346,-0.0408,25.35
539,1360,2.4181,6.28,-0.5674,-0.9561,-0.0426,-0.0139,25.35
549,1309,2.5402,6.8354,0.2466,-1.3033,-0.2148,0.0234,25.34
559,1110,2.4708,7.6064,1.087,-1.5553,-0.4871,0.0935,25.34
569,1377,2.217,8.5353,1.9728,-1.6808,-0.8327,0.1785,25.35
579,4095,1.9058,9.4403,2.739,-1.6318,-1.2017,0.2406,25.36
589,4095,1.6328,10.1514,3.2489,-1.392,-1.5058,0.238,25.36
599,2406,1.3934,10.5297,3.4333,-0.9726,-1.6686,0.1332,25.37
609,662,1.1013,10.6255,3.3112,-0.4541,-1.6321,-0.0562,25.36
619,1399,0.747,10.4507,2.9209,0.0701,-1.4037,-0.2614,25.37
629,1405,0.5028,10.0197,2.3415,0.5223,-1.0749,-0.4162,25.36
639,1379,0.4549,9.4595,1.7454,0.8553,-0.7743,-0.4935,25.38
649,1403,0.5962,8.8921,1.1947,1.0651,-0.5798,-0.4844,25.38
659,1408,0.9026,8.4348,0.6033,1.133,-0.5252,-0.4112,25.39
669,1454,1.2474,8.1116,0.0383,1.0802,-0.5764,-0.3043,25.4
679,1488,1.5634,7.8673,-0.5267,0.9209,-0.6917,-0.1977,25.4
689,1494,1.7837,7.6279,-1.0056,0.68,-0.8122,-0.1569,25.41
699,1565,1.4748,7.92,-1.3551,0.3973,-0.9393,-0.0749,25.41
709,1582,1.4317,7.9823,-1.4293,0.1367,-1.064,0.0176,25.41
719,1616,1.2378,8.0661,-1.3886,-0.0608,-1.1759,0.0453,25.39
729,1597,0.9266,8.2935,-1.3096,-0.2137,-1.2343,0.036,25.4
739,1680,0.5674,8.5593,-1.233,-0.3459,-1.2103,0.0152,25.4
749,1701,0.2418,8.8562,-0.9936,-0.4591,-1.0786,0.0051,25.41
759,1727,0.0622,9.165,-0.7063,-0.5361,-0.8412,0.0059,25.41
769,1777,0.1197,9.4715,-0.4597,-0.5987,-0.5545,0.0056,25.42
779,1819,0.4142,9.8402,0.012,-0.6472,-0.295,0.0131,25.43
789,1840,0.8667,10.1586,0.2203,-0.6909,-0.101,0.0408,25.42
799,1881,1.4293,10.4052,0.4429,-0.7514,0.0221,0.0866,25.42
809,1913,2.0662,10.647,0.8116,-0.7602,0.0277,0.141,25.42
819,1910,2.6983,10.884,1.1229,-0.6651,-0.0834,0.1703,25.43
829,1943,3.0909,11.1211,1.2689,-0.4855,-0.2761,0.1498,25.43
839,1923,3.0574,11.2743,1.142,-0.2942,-0.4628,0.1095,25.46
849,1864,2.6983,11.4251,1.2306,-0.19,-0.566,0.0901,25.44
853,1805,2.5762,11.4467,1.2641,-0.1929,-0.5801,0.093,25.43
863,1664,2.138,11.3629,1.4581,-0.3016,-0.5188,0.1191,25.43
873,1611,1.8004,11.2647,1.6712,-0.5364,-0.3776,0.1764,25.43
883,1523,1.6544,11.2647,1.9249,-0.878,-0.2116,0.2718,25.43
893,1434,1.6185,11.4826,2.296,-1.271,-0.0853,0.3549,25.44
903,1421,1.5993,11.8345,2.9329,-1.627,-0.0203,0.3912,25.43
913,1399,1.743,12.2176,3.9217,-1.8143,0.0096,0.3656,25.45
923,1392,2.0016,12.4115,5.1667,-1.7269,0.0362,0.2446,25.45
933,1375,2.3296,12.2655,6.2106,-1.3688,0.0773,0.0163,25.44
943,1383,2.3846,11.7603,6.778,-0.8407,0.0994,-0.2561,25.44
953,1403,2.4972,10.8098,6.8714,-0.267,0.0914,-0.4527,25.44
963,1426,2.9832,9.5481,6.5888,0.2654,0.0333,-0.5974,25.46
973,1437,3.5865,8.0948,5.8371,0.6568,-0.097,-0.7061,25.46
983,1479,4.0534,6.6966,4.9009,0.8801,-0.2774,-0.7631,25.45
993,1503,4.3,5.5474,3.9983,0.9513,-0.5041,-0.7405,25.45
1003,1535,4.4963,4.7597,3.1484,0.8116,-0.8116,-0.6899,25.46
1013,1566,4.4388,4.4532,2.569,0.5201,-1.1506,-0.571,25.47
1023,1598,4.288,4.7597,2.1668,0.0698,-1.5266,-0.3821,25.47
1033,1625,3.6703,5.8227,2.1763,-0.6153,-2.0001,-0.1945,25.47
1043,1677,2.5618,7.7428,2.545,-1.4043,-2.5373,0.0749,25.47
1053,1729,1.6664,10.1347,3.5123,-1.9753,-3.0273,0.4538,25.48
1063,1753,1.5993,11.7675,4.8578,-2.0728,-3.334,0.696,25.48
1073,1780,1.3671,12.4953,5.6407,-1.6454,-3.2706,0.5361,25.49
1083,1794,0.419,12.7515,5.7509,-0.8415,-2.7819,0.0298,25.49
1093,1822,-0.6297,12.5217,4.8842,0.0845,-2.0078,-0.6009,25.47
1103,1823,-1.221,11.7531,3.6703,0.8913,-1.1397,-1.1767,25.47
1113,1826,-1.3216,10.7045,2.6863,1.4536,-0.4109,-1.6329,25.47
1123,1872,-1.2665,9.6678,1.9201,1.7203,0.0349,-1.8751,25.48
1133,1963,-1.0965,8.7364,1.6688,1.7387,0.2358,-1.7882,25.49
1143,2001,-0.893,8.0972,1.3838,1.5847,0.2928,-1.4107,25.49
1153,2076,-0.2227,7.5417,1.0989,1.3062,0.3483,-0.7613,25.47
1163,2094,0.6201,6.8642,0.8811,0.9052,0.3272,-0.0978,25.49
