time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2048,2007,3.342306,8.544906,1.872266,0.367718,0.368784,0.171602,21.571177
2058,1979,3.315969,8.643068,1.84593,0.314159,0.203577,0.089265,21.571177
2068,1959,3.184288,8.66701,1.848324,0.28245,0.035706,0.009593,21.588823
2078,1717,2.964022,8.65025,1.821988,0.256603,-0.102855,-0.065017,21.58
2088,1519,2.693477,8.66701,1.850718,0.227825,-0.205976,-0.133764,21.585882
2098,1694,2.401384,8.74123,1.908179,0.182793,-0.285648,-0.196649,21.571177
2108,1664,2.193089,8.875306,2.020706,0.119908,-0.355194,-0.244346,21.585882
2118,1677,1.989582,8.987833,2.171541,0.057289,-0.428472,-0.277387,21.568235
2128,1694,1.810017,9.13388,2.336741,0.025847,-0.51747,-0.300303,21.574118
2138,1730,1.608904,9.263166,2.442086,0.045565,-0.620058,-0.314692,21.585882
2148,1712,1.398214,9.414001,2.408567,0.104986,-0.717317,-0.310695,21.568235
2158,1843,1.221043,9.548077,2.269703,0.181461,-0.780735,-0.276588,21.574118
2168,1755,1.113304,9.615114,2.106898,0.267262,-0.794058,-0.219832,21.582941
2178,1434,1.089362,9.548077,2.061408,0.345868,-0.766346,-0.154015,21.588823
2188,1638,1.151611,9.437943,2.054225,0.402891,-0.718116,-0.086067,21.577059
2198,4095,1.225831,9.25359,2.008735,0.442061,-0.661893,-0.013057,21.588823
2208,4095,1.323994,9.081207,1.982399,0.462312,-0.610199,0.058355,21.577059
2218,3818,1.403002,8.901642,1.946486,0.456717,-0.567832,0.126303,21.58
2228,1210,1.54426,8.777143,1.872266,0.414882,-0.531326,0.188922,21.58
2238,1682,1.716643,8.74123,1.788469,0.345602,-0.4791,0.240083,21.609411
2248,1697,1.92015,8.798691,1.75495,0.270992,-0.398628,0.276588,21.600588
2258,1691,2.090138,8.954314,1.769315,0.206242,-0.289645,0.300303,21.58
2268,1679,2.178724,9.217676,1.723825,0.159877,-0.178263,0.317623,21.58
2278,1734,2.236184,9.636662,1.637634,0.132698,-0.069813,0.347734,21.591764
2288,1904,2.248155,10.158598,1.446098,0.133231,0.057289,0.39996,21.597647
2298,1680,2.267309,10.627861,1.024718,0.18679,0.26593,0.469507,21.597647
2308,1778,2.32477,10.819398,0.474052,0.311495,0.593678,0.531859,21.585882
2318,1845,2.41575,10.733206,0.126893,0.476435,0.998435,0.581155,21.603529
2328,1839,2.631228,10.462662,0.141258,0.638178,1.374413,0.619792,21.615294
2338,1853,2.999935,10.15381,0.414197,0.779669,1.59158,0.671485,21.624117
2348,1885,3.576937,9.902418,0.61531,0.921427,1.584119,0.736502,21.60647
2379,2131,5.370194,8.559271,0.280122,1.306732,0.80525,0.758619,21.618235
2389,2011,5.542577,8.073248,-0.150835,1.303801,0.563835,0.677081,21.609411
2399,1983,5.501875,7.637504,-0.565032,1.184692,0.392499,0.564101,21.594706
2409,2143,5.257667,7.369353,-0.871489,0.962196,0.255804,0.437531,21.609411
2419,2169,4.91769,7.33344,-1.201889,0.640309,0.134031,0.318956,21.60647
2429,2183,4.685453,7.338228,-1.25935,0.239017,0.016787,0.234753,21.615294
2439,2311,4.620809,7.474698,-1.130063,-0.155614,-0.110848,0.172934,21.629999
2449,2343,4.716578,7.690176,-0.711078,-0.495887,-0.241149,0.14309,21.627058
