time_ms, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp_C
439,1610,0.6129,6.4093,1.494,-1.7605,-1.3113,0.2078,25.5
449,1658,-0.2274,7.7452,1.6017,-2.0555,-1.2252,0.2995,25.5
459,1678,-0.929,9.402,2.0375,-2.1951,-0.9406,0.3637,25.52
469,1716,-1.3192,11.078,2.8443,-2.1453,-0.5132,0.3701,25.52
479,1756,-1.312,12.5791,3.9193,-1.9183,-0.0381,0.3246,25.52
489,1774,-0.8475,13.6374,5.1787,-1.5314,0.3738,0.2441,25.53
499,1884,-0.0479,14.1521,6.3734,-1.0147,0.6291,0.1388,25.53
509,1926,0.9146,14.0109,7.0629,-0.4032,0.7045,0.0234,25.54
519,1921,1.7909,13.3477,7.0102,0.2337,0.6544,-0.0973,25.53
529,1969,2.3343,12.3924,6.3255,0.8151,0.5601,-0.1961,25.54
539,1990,2.545,11.2192,5.296,1.2881,0.469,-0.2555,25.55
549,1988,2.5283,9.9335,4.1204,1.6241,0.397,-0.2766,25.55
559,1984,2.3727,8.6646,2.9209,1.8295,0.3563,-0.2633,25.56
569,1919,2.0806,7.4555,1.8364,1.9007,0.3475,-0.2022,25.56
579,1833,1.6688,6.3925,0.826,1.7949,0.3243,-0.1394,25.57
589,1642,1.3815,5.4564,-0.2059,1.4991,0.332,-0.0986,25.57
599,1613,0.7207,5.047,-0.929,1.0214,0.3611,-0.0362,25.56
609,1507,0.4166,4.628,-1.2019,0.4831,0.4069,0.0807,25.57
619,1426,0.3735,4.5011,-1.166,-0.0506,0.4413,0.1641,25.58
629,1441,0.3519,4.7645,-1.0391,-0.5812,0.433,0.2201,25.59
639,1399,0.5028,5.2289,-0.8906,-1.1146,0.4008,0.2395,25.57
649,1375,0.577,5.9568,-0.6584,-1.5961,0.3632,0.218,25.57
659,1372,0.7207,6.8283,-0.1389,-1.9364,0.3488,0.1836,25.57
669,1321,0.8763,7.7668,0.6369,-2.092,0.3826,0.1466,25.57
679,1367,1.0846,8.746,1.561,-2.055,0.4506,0.1196,25.58
689,1356,1.2641,9.6007,2.478,-1.8551,0.5385,0.1002,25.58
699,1376,1.5371,10.2903,3.4141,-1.5082,0.6297,0.0903,25.6
709,1380,1.7717,10.7739,4.1683,-1.0568,0.6979,0.1079,25.59
719,1418,2.1093,11.0109,4.4676,-0.5852,0.7157,0.1308,25.59
729,1420,2.32,11.0516,4.4724,-0.1671,0.6755,0.1298,25.58
739,1442,2.229,10.8194,4.2737,0.2038,0.571,0.1431,25.6
749,1438,2.0399,10.4052,3.7781,0.5329,0.4269,0.1697,25.59
759,1475,1.8364,9.8881,3.0502,0.793,0.2968,0.1809,25.58
769,1462,1.6233,9.2823,2.1476,0.967,0.2374,0.1556,25.59
779,1487,1.3192,8.6933,1.2641,1.0421,0.2779,0.11,25.59
789,1456,0.9146,8.2432,0.6105,1.0283,0.3874,0.0671,25.59
799,1490,0.6584,7.7859,0.1293,0.9204,0.5236,0.0624,25.61
809,1487,0.5291,7.446,-0.1604,0.7352,0.636,0.0637,25.61
819,1519,0.4094,7.2688,-0.2682,0.497,0.6832,0.0709,25.61
829,1503,0.3807,7.3454,-0.2538,0.2156,0.6598,0.0877,25.6
833,1515,0.3735,7.4436,-0.1628,0.0946,0.6408,0.0994,25.6
843,1535,0.4956,7.7524,0.2466,-0.1964,0.5873,0.1242,25.61
