time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2688,1575,-0.363919,11.432313,4.606444,2.248943,3.256971,-1.012824,23.621176
2698,2078,0.840365,9.148245,2.96881,2.676083,2.754689,-0.99657,23.627058
2708,2135,1.580173,7.869741,2.190695,2.842355,2.039237,-0.908637,23.629999
2718,2112,0.122104,9.19134,0.806846,2.636113,0.901709,-0.864138,23.638824
2728,2189,0.608127,10.970232,-1.661576,2.265997,-0.126303,-0.609666,23.635881
2738,2144,2.528277,10.429143,-4.537012,1.969158,-0.684809,-0.438331,23.638824
2748,2323,3.114856,9.576807,-5.635951,1.658463,-0.564101,-0.58675,23.618235
2758,2257,2.341529,9.540894,-4.771644,1.213204,-0.262199,-0.891051,23.627058
2768,2271,1.340753,10.031705,-3.727772,0.670953,-0.049562,-1.003231,23.624117
2778,2263,0.488417,9.844957,-3.184288,0.148686,0.205976,-0.94834,23.635881
2788,2313,0.390255,9.514558,-2.755726,-0.026646,0.397828,-1.027746,23.650589
2798,2288,0.452504,9.081207,-2.659958,0.13856,0.596609,-1.299538,23.641766
2808,2461,0.52433,9.121908,-2.944868,0.190787,0.749559,-1.626753,23.647648
2818,2295,0.64404,9.181764,-2.858677,0.03464,0.82257,-1.882824,23.635881
2828,2355,0.258574,9.701305,-2.987964,-0.233688,0.717583,-1.890018,23.641766
2838,2326,-0.452504,11.003751,-3.184288,-0.51827,0.494554,-1.432236,23.641766
2848,2339,-0.641646,10.520123,-2.341529,-0.593145,0.153482,-0.580622,23.644707
2858,2431,-0.536301,6.983886,-1.970428,-0.274456,-0.4354,-0.384505,23.644707
2868,2474,-0.605733,7.661446,-3.366248,-0.203044,-0.518802,-0.39543,23.644707
2878,2459,-0.665588,8.444349,-2.964022,-0.405023,-0.452453,-0.400493,23.638824
2888,2505,-0.902614,8.803479,-2.245761,-0.53559,-0.196916,-0.434334,23.641766
2898,2449,-1.496376,9.102755,-1.343147,-0.489492,0.236619,-0.347467,23.647648
2908,2433,-1.462857,9.255983,-0.416591,-0.206508,0.66509,-0.098325,23.638824
2918,2335,-1.161188,9.263166,-0.122104,0.233421,0.943277,0.207041,23.63294
2928,2167,-0.972046,8.99741,-0.320823,0.592346,1.025348,0.492423,23.63294
2938,2004,-0.550666,8.116343,-1.122881,0.820172,0.989109,0.66589,23.638824
2948,1793,-0.050278,7.177817,-2.116474,0.894781,0.968591,0.679746,23.647648
2958,1663,0.311246,6.440403,-2.920926,0.768478,0.972588,0.572095,23.656471
2968,1651,0.608127,6.05733,-3.239355,0.491357,0.974986,0.3909,23.650589
2978,1763,0.732626,6.296751,-2.829947,0.127369,0.826034,0.222763,23.650589
2988,1677,0.766145,6.914454,-1.771709,-0.122573,0.53026,0.185724,23.638824
2998,1596,0.830788,7.548918,-1.043872,-0.097525,0.24408,0.214502,23.65353
3008,1633,0.916979,7.94875,-1.13964,0.077807,0.06928,0.214502,23.638824
3018,1581,0.926556,8.178593,-1.541866,0.198515,-0.009326,0.160144,23.644707
3028,1571,0.665588,8.461109,-2.097321,0.232355,-0.042101,0.083403,23.65353
3038,1632,0.244209,8.719683,-2.533065,0.218233,-0.051427,0.048496,23.650589
3048,1659,-0.258574,8.975863,-2.770091,0.213436,-0.027179,0.083936,23.65353
3058,1670,-0.581791,9.136273,-3.007117,0.224628,0.037838,0.159611,23.671177
3068,1637,-0.608127,9.234436,-3.157952,0.228891,0.136962,0.230757,23.665295
3078,1674,-0.25618,9.306262,-3.229778,0.207308,0.217167,0.262998,23.668236
3088,1628,0.222661,9.619903,-3.296816,0.165473,0.268328,0.276855,23.647648
3098,1681,0.577003,10.041282,-3.438074,0.119375,0.279519,0.287247,23.647648
3108,1726,0.823605,10.283096,-3.49314,0.10472,0.237685,0.28325,23.638824
3118,1675,1.132457,10.323798,-3.41892,0.141225,0.131632,0.272858,23.641766
3128,1701,1.410185,10.323798,-3.1795,0.204643,-0.03011,0.258735,23.641766
3138,1716,1.486799,10.457873,-3.167529,0.233688,-0.206242,0.239017,23.647648
3148,1682,1.419762,10.919954,-3.406949,0.160144,-0.363988,0.239017,23.65353
3158,1665,1.357512,11.566388,-3.799598,-0.003464,-0.444726,0.219565,23.641766
3168,1711,1.182736,12.191275,-4.067749,-0.162809,-0.443394,0.176132,23.65353
3178,1730,0.782904,12.91193,-3.964798,-0.350931,-0.456717,0.19585,23.644707
3188,1653,0.938527,12.186486,-3.454833,-0.455118,-0.563568,0.309363,23.65353
3198,1677,1.290475,11.559206,-3.040636,-0.405289,-0.560104,0.347734,23.656471
3208,1705,1.678335,11.408371,-2.731784,-0.445259,-0.49562,0.399694,23.65353
3218,1691,2.102109,11.686098,-2.39899,-0.493222,-0.371449,0.450588,23.659412
3228,1731,2.607286,11.480197,-1.900996,-0.482564,-0.329614,0.478034,23.656471
3238,1821,3.078943,10.96305,-1.374272,-0.385571,-0.383706,0.44739,23.650589
3248,1929,3.057395,10.618284,-0.845153,-0.265663,-0.512407,0.409553,23.647648
3258,1995,2.72939,10.366894,-0.347159,-0.167605,-0.704527,0.408487,23.659412
3268,1889,2.425326,10.184934,0.019154,-0.020251,-0.950205,0.454851,23.656471
3278,1853,2.157176,10.038888,0.287304,0.184392,-1.173767,0.53559,23.656471
3288,1751,1.810017,9.828198,0.169988,0.406888,-1.28275,0.650968,23.662354
3298,1680,1.527501,9.433155,-0.246603,0.543317,-1.212404,0.797256,23.662354
3308,1605,1.450886,8.961497,-0.78051,0.563035,-0.910769,0.93475,23.665295
3318,1584,1.90339,8.722076,-1.273715,0.483096,-0.483629,1.013357,23.656471
3328,1649,3.031059,8.738836,-1.608904,0.350132,-0.101789,0.969124,23.656471
3338,1648,4.036624,9.210494,-2.166753,0.202511,0.01359,0.713587,23.662354
3348,1715,4.192247,9.979033,-2.837129,0.187057,-0.094328,0.382907,23.662354
3358,1854,4.156334,10.041282,-3.572149,0.192652,-0.271525,0.130833,23.668236
3368,1833,3.900155,9.646238,-3.641581,0.072744,-0.43007,-0.002398,23.671177
3378,1787,3.356671,9.28232,-3.330335,-0.138028,-0.606202,-0.050361,23.665295
3388,1447,2.645593,9.169792,-3.004723,-0.306698,-0.779136,-0.074077,23.647648
3398,1790,1.910573,9.220071,-2.662352,-0.387969,-0.927822,-0.078606,23.671177
3408,4095,1.525106,9.045294,-2.049437,-0.384772,-1.027213,-0.072211,23.665295
3418,4095,1.309628,8.719683,-1.900996,-0.357593,-1.027746,-0.09193,23.68
3428,3544,0.670376,8.461109,-2.061408,-0.362123,-0.907305,-0.084202,23.68
3438,1183,0.526724,8.259995,-2.339135,-0.362922,-0.736236,0.008527,23.674118
3448,1730,0.969652,8.197746,-2.3535,-0.279519,-0.576891,0.098591,23.656471
3458,1840,1.563414,8.020576,-2.300828,-0.168671,-0.523066,0.121773,23.65353
3468,1836,1.970428,7.745243,-2.32477,-0.0866,-0.522533,0.059421,23.671177
3478,1835,2.082955,7.532158,-2.343924,-0.05196,-0.52653,-0.032242,23.665295
3488,1878,1.889025,7.290344,-2.408567,-0.06928,-0.545982,-0.125504,23.662354
3498,1905,1.563414,7.117962,-2.525883,-0.131366,-0.578757,-0.203311,23.65353
3508,1925,1.321599,6.871359,-2.39899,-0.194784,-0.624855,-0.266729,23.674118
3518,1985,1.146823,6.959944,-2.229002,-0.213969,-0.664291,-0.319222,23.668236
3528,2015,1.022324,7.208941,-2.401384,-0.20491,-0.666423,-0.352796,23.677059
3538,2071,0.885855,7.249643,-2.60968,-0.22223,-0.609133,-0.385838,23.674118
3548,2105,0.790087,7.467515,-2.808398,-0.273657,-0.485761,-0.416481,23.682941
3558,2157,0.682347,7.872135,-2.870648,-0.304567,-0.358925,-0.413283,23.685883
3568,2209,0.756568,8.231265,-2.829947,-0.260334,-0.306965,-0.379975,23.674118
3578,2315,1.000776,8.468291,-2.930503,-0.160144,-0.306698,-0.323485,23.671177
3588,2234,1.173159,8.528147,-3.009511,-0.086334,-0.328282,-0.264331,23.691765
3598,2301,1.170765,8.492233,-2.817975,-0.06102,-0.347467,-0.180928,23.665295
3608,2443,1.513135,8.406042,-2.322376,0.037571,-0.408753,-0.136162,23.671177
3618,2439,1.831564,8.463503,-2.377442,0.190787,-0.505479,-0.163075,23.662354
3628,2423,1.917756,8.559271,-2.791639,0.248077,-0.547314,-0.191054,23.668236
3638,2477,1.795651,8.74123,-3.191471,0.190787,-0.518802,-0.200646,23.668236
3648,2640,1.479617,8.942344,-3.375824,0.119109,-0.444193,-0.189455,23.668236
3658,2362,1.158794,9.069236,-3.430891,0.096193,-0.348266,-0.162009,23.674118
3668,2299,0.912191,9.227253,-3.505111,0.087133,-0.233421,-0.124438,23.694706
3678,2255,0.955287,9.339781,-3.512294,0.065816,-0.109783,-0.09113,23.688824
3688,2007,1.120486,9.483433,-3.526659,0.058355,0.010392,-0.087666,23.691765
3698,1938,1.118092,9.65821,-3.636792,0.050095,0.088199,-0.110582,23.691765
3708,1904,0.991199,9.655815,-3.766079,0.035972,0.118309,-0.135096,23.685883
3718,1911,0.837971,9.756371,-3.691859,0.052493,0.087666,-0.147887,23.68
3728,1778,0.88346,9.730036,-3.564966,0.106585,0.002132,-0.126836,23.688824
3738,1738,0.955287,9.727641,-3.8403,0.144956,-0.089265,-0.108184,23.665295
3748,1819,0.90022,9.708488,-4.158728,0.162542,-0.140959,-0.106585,23.68
3758,1769,0.799663,9.562442,-4.06296,0.185724,-0.184392,-0.088732,23.700588
3768,1775,0.682347,9.579201,-3.828329,0.188922,-0.215302,-0.038371,23.688824
3778,1776,0.656011,10.026917,-3.881001,0.124438,-0.19132,0.019452,23.688824
3788,1807,0.842759,10.82658,-4.357447,-0.028511,-0.072744,0.005329,23.691765
3798,1836,0.907402,11.365275,-4.639963,-0.166539,0.108983,-0.114845,23.691765
3808,1747,0.751779,11.437101,-4.213795,-0.185991,0.208907,-0.216368,23.682941
3818,1818,0.349553,11.281479,-3.801992,-0.150285,0.180662,-0.228092,23.694706
3828,1793,-0.100556,11.348516,-3.557784,-0.145222,0.14389,-0.176132,23.691765
3838,1782,-0.241814,11.585542,-3.069367,-0.173467,0.171069,-0.115112,23.688824
3848,1833,-0.177171,11.781867,-2.717419,-0.175066,0.245145,-0.111648,23.685883
3858,1773,-0.220267,11.60709,-2.432509,-0.106851,0.363721,-0.157746,23.694706
3868,1735,-0.452504,11.020511,-2.102109,0.010126,0.45645,-0.164674,23.700588
3878,1759,-0.754174,10.465055,-1.984793,0.12657,0.494021,-0.081804,23.674118
3888,1791,-0.835576,9.955091,-1.812411,0.195051,0.500417,0.040502,23.688824
3898,1790,-0.584185,9.421184,-1.446098,0.190521,0.475369,0.124971,23.688824
3908,1845,-0.098162,9.011775,-1.04866,0.159345,0.424475,0.118842,23.703529
3918,1827,0.392649,8.913613,-0.895431,0.145489,0.376778,0.017853,23.685883
3928,1863,0.584185,9.090784,-1.151611,0.133231,0.363188,-0.138028,23.691765
3938,1878,0.454898,9.351752,-1.640028,0.093528,0.403424,-0.290178,23.68
3948,1865,0.114922,9.588778,-2.06859,0.020784,0.508677,-0.372515,23.677059
3958,1850,-0.167594,9.785102,-2.317587,-0.086334,0.64324,-0.37358,23.68
3968,1893,-0.292093,10.010158,-2.437297,-0.224361,0.775139,-0.330413,23.674118
3978,1828,-0.268151,10.366894,-2.549825,-0.362389,0.880392,-0.281917,23.674118
3988,1874,-0.213084,10.766725,-2.604892,-0.459115,0.912634,-0.23875,23.700588
3998,1911,-0.407014,11.731588,-2.480393,-0.537721,0.838291,-0.140426,23.685883
4008,1883,0.131681,10.886436,-2.506729,-0.525198,0.623256,0.041568,23.691765
4018,1899,0.509965,10.110714,-2.863465,-0.441795,0.597409,0.085534,23.694706
4028,1883,0.536301,9.691729,-3.040636,-0.498818,0.677881,0.088466,23.697647
4038,1777,0.505177,9.572019,-2.762909,-0.569697,0.742897,0.106585,23.718235
4048,1568,0.52433,9.449914,-2.442086,-0.581155,0.719182,0.150551,23.709412
4058,1488,0.624887,9.437943,-1.850718,-0.524665,0.63125,0.193185,23.697647
4068,1507,0.823605,9.397242,-1.489193,-0.376245,0.511075,0.183326,23.709412
4078,1455,0.713472,9.217676,-1.426944,-0.20864,0.422077,0.147354,23.709412
4088,1472,0.45011,8.863335,-1.486799,-0.065283,0.393032,0.118043,23.691765
4098,1489,0.296881,8.439561,-1.522712,0.031709,0.38717,0.099657,23.691765
4108,1467,0.158017,8.137892,-1.726219,0.096193,0.408487,0.097792,23.703529
4118,1517,0.098162,7.879318,-2.073379,0.126303,0.455384,0.113513,23.700588
4128,1658,0.28491,7.601591,-2.30801,0.107917,0.498018,0.133764,23.709412
4138,1619,0.512359,7.414843,-2.449268,0.050894,0.514006,0.127369,23.712353
4148,1098,0.648829,7.489063,-2.528277,-0.025047,0.503881,0.104187,23.703529
4158,1739,0.548272,7.702147,-2.461239,-0.094061,0.488159,0.109783,23.703529
4168,4095,0.502782,7.790732,-2.319981,-0.128701,0.452453,0.139893,23.715294
4178,4095,0.280122,7.764396,-2.396596,-0.151084,0.42181,0.16574,23.694706
4188,2250,-0.021548,7.745243,-2.425326,-0.171602,0.425008,0.200113,23.700588
4198,986,-0.277727,7.809886,-2.430115,-0.195583,0.441528,0.27419,23.694706
4208,1535,-0.179565,7.764396,-2.329558,-0.205976,0.443926,0.379443,23.688824
4218,1607,0.280122,7.730877,-1.898602,-0.180395,0.41355,0.463645,23.700588
4228,1516,0.912191,7.809886,-1.414973,-0.123639,0.350398,0.496686,23.697647
4238,1502,1.386243,7.970297,-1.273715,-0.03011,0.281118,0.436466,23.709412
4248,1535,1.532289,8.192958,-1.546654,0.078074,0.224095,0.291776,23.703529
4258,1535,1.235408,8.348581,-2.217031,0.137761,0.198248,0.162542,23.700588
4268,1600,0.691924,8.401254,-2.664747,0.107118,0.221164,0.124971,23.697647
4278,1661,0.280122,8.532935,-2.839523,0.035173,0.271259,0.155614,23.700588
4288,1651,0.146046,8.887277,-2.906561,-0.042101,0.311761,0.196916,23.688824
4298,1805,0.268151,9.342175,-2.832341,-0.087933,0.326417,0.220364,23.694706
4308,1717,0.519542,9.758766,-2.75812,-0.101256,0.306165,0.224095,23.691765
4318,1804,0.665588,10.024523,-2.789245,-0.109516,0.285648,0.240882,23.703529
4328,1885,0.78051,10.160992,-2.736573,-0.097259,0.268061,0.258469,23.709412
4338,1938,0.986411,10.268731,-2.525883,-0.048763,0.229158,0.258469,23.700588
4348,2009,1.23062,10.259154,-2.135628,0.052227,0.125237,0.25607,23.709412
4358,2116,1.66397,10.376471,-1.793257,0.222763,-0.029844,0.206242,23.721176
4368,2169,2.003947,10.613496,-2.391808,0.405556,-0.194518,0.125504,23.70647
4378,2233,1.80044,10.776301,-3.181894,0.514539,-0.288046,0.059688,23.700588
4388,2270,1.345541,10.747571,-3.809175,0.516138,-0.321887,0.064484,23.70647
4398,2329,1.012747,11.001357,-4.381389,0.341338,-0.29604,0.137761,23.703529
4408,2335,1.077391,11.360487,-4.733337,0.067681,-0.194518,0.189455,23.703529
4418,2336,1.403002,11.494562,-4.436456,-0.136162,-0.090064,0.18226,23.712353
4428,2240,1.886631,11.47062,-3.813963,-0.23502,-0.055957,0.167072,23.709412
4438,2059,2.32477,11.271901,-3.083732,-0.261666,-0.080738,0.16574,23.721176
4448,1947,2.595315,11.051635,-2.753332,-0.277387,-0.130833,0.16574,23.718235
4458,1841,2.724602,11.128249,-2.590526,-0.316025,-0.173201,0.166806,23.709412
4468,1766,3.035848,11.341333,-2.554613,-0.31789,-0.204643,0.163075,23.715294
4478,1719,3.155558,11.267113,-2.291251,-0.306432,-0.209706,0.126037,23.712353
4488,1685,2.731784,10.805033,-1.872266,-0.290178,-0.243813,0.104187,23.718235
4498,1651,2.099715,10.354922,-1.482011,-0.256337,-0.256337,0.154015,23.715294
4508,1722,1.570596,10.000581,-1.264138,-0.229424,-0.21317,0.273391,23.718235
4518,1744,1.654393,10.292673,-0.169988,-0.137228,-0.110582,0.410086,23.703529
4528,1621,2.616863,10.271125,0.605733,0.103654,-0.0429,0.443926,23.715294
4538,1619,3.313575,9.76116,0.92895,0.3051,-0.268061,0.489758,23.732941
4548,1616,3.153164,9.337387,0.670376,0.427406,-0.471905,0.528662,23.732941
4558,1661,2.987964,9.124303,-0.248997,0.497219,-0.547847,0.530793,23.724117
4568,1666,3.004723,8.963891,-1.412579,0.511874,-0.399694,0.486827,23.724117
4578,1680,3.416526,9.040505,-2.082955,0.518003,-0.144689,0.387436,23.727058
4588,1726,3.785233,9.320627,-3.026271,0.441528,0.053292,0.260867,23.721176
4598,1789,3.821146,9.528923,-4.103662,0.184126,0.173467,0.173467,23.715294
4608,1830,3.742137,9.548077,-4.24492,-0.133764,0.193185,0.136695,23.727058
4618,1795,3.251326,9.497798,-3.596091,-0.413017,0.134564,0.149219,23.73
4628,1873,2.267309,9.495404,-3.371036,-0.697066,0.115911,0.248343,23.732941
4638,1762,1.309628,9.248801,-3.481169,-0.985645,0.187057,0.415948,23.73
4648,1808,0.529119,9.038112,-3.55539,-1.243047,0.362389,0.590747,23.73
4658,1863,3.028665,8.971074,-2.087744,-1.36562,0.331746,0.589149,23.718235
4668,1872,3.653552,8.724471,-0.787692,-1.255838,-0.074609,0.317623,23.721176
4678,1894,3.040636,8.542512,0.126893,-1.033608,-0.32615,0.100456,23.724117
4688,2025,2.422932,8.190564,0.586579,-0.74423,-0.395164,-0.019718,23.715294
4698,1792,2.090138,7.843405,0.464475,-0.402891,-0.349599,-0.085801,23.724117
4708,1758,2.015918,7.594408,-0.244209,-0.080738,-0.237685,-0.141758,23.709412
4718,1795,2.358289,7.223307,-1.132457,0.144156,-0.14309,-0.229424,23.718235
4728,1805,2.63841,7.103596,-1.891419,0.217433,-0.16121,-0.336276,23.709412
4738,1878,2.626439,7.161057,-2.631228,0.132698,-0.311228,-0.371982,23.709412
4748,1885,2.298434,7.192182,-3.050213,-0.071678,-0.51827,-0.312028,23.721176
4758,1969,1.807622,7.206547,-3.052607,-0.322953,-0.679213,-0.176132,23.724117
4768,2128,1.335965,7.230489,-2.664747,-0.520401,-0.735703,-0.025847,23.718235
4778,2112,0.162806,7.714118,-0.687136,-0.51827,-0.499351,0.115378,23.724117
4788,2242,0.435745,7.656657,-0.59855,-0.142824,0.056224,0.173467,23.735882
4798,2213,1.233014,7.323863,-1.719037,0.003198,0.104187,0.227026,23.724117
4808,2295,2.092532,7.247249,-2.554613,-0.171602,0.139093,0.390634,23.712353
